Z,A,BINDING ENERGY / A (keV)
44,99,8608.627
45,99,8580.093
46,99,8537.982
47,99,8475.231
48,99,8398
49,99,8303
50,99,8153
36,100,8152
37,100,8249
38,100,8376.218
39,100,8439.145
40,100,8524.422
41,100,8549.948
42,100,8604.575
43,100,8595.07
44,100,8619.274
45,100,8575.103
46,100,8563.7
47,100,8485.098
48,100,8438.289
49,100,8329.666
50,100,8247.942
37,101,8216.371
38,101,8325.555
39,101,8411.918
40,101,8488.776
41,101,8535.337
42,101,8572.829
43,101,8593.049
44,101,8601.282
45,101,8588.173
46,101,8560.823
47,101,8511.455
48,101,8449.486
49,101,8371
50,101,8274
37,102,8163
38,102,8300.222
39,102,8378.974
40,102,8467.872
41,102,8505.349
42,102,8568.365
43,102,8570.579
44,102,8607.344
45,102,8576.9
46,102,8580.505
47,102,8517.343
48,102,8484.31
49,102,8388.714
50,102,8324.377
38,103,8244
39,103,8347
40,103,8431.299
41,103,8491.131
42,103,8537.225
43,103,8566.037
44,103,8584.283
45,103,8584.1
46,103,8571.231
47,103,8537.541
48,103,8489.733
49,103,8423.399
50,103,8342
51,103,8229
38,104,8212
39,104,8306
40,104,8408
41,104,8457.35
42,104,8527.76
43,104,8540.983
44,104,8587.333
45,104,8568.858
46,104,8584.799
47,104,8536.135
48,104,8517.683
49,104,8434.506
50,104,8383.57
51,104,8257
38,105,8156
39,105,8270
40,105,8367
41,105,8440.617
42,105,8494.928
43,105,8534.619
44,105,8561.835
45,105,8572.651
46,105,8570.602
47,105,8550.343
48,105,8516.817
49,105,8463.185
50,105,8396.509
51,105,8299.13
52,105,8184
39,106,8225
40,106,8339
41,106,8402
42,106,8480.718
43,106,8506.545
44,106,8560.929
45,106,8553.92
46,106,8579.945
47,106,8544.591
48,106,8539.052
49,106,8470.105
50,106,8432.712
51,106,8321
52,106,8236.717
39,107,8185
40,107,8295
41,107,8378
42,107,8445.937
43,107,8496.195
44,107,8533.93
45,107,8554.099
46,107,8560.847
47,107,8553.854
48,107,8533.3
49,107,8493.977
50,107,8440.097
51,107,8359
52,107,8257
39,108,8138
40,108,8265
41,108,8336
42,108,8427
43,108,8463.095
44,108,8527.332
45,108,8532.555
46,108,8567.024
47,108,8541.98
48,108,8550.018
49,108,8495.212
50,108,8468.758
51,108,8373
52,108,8303.168
53,108,8175
40,109,8218
41,109,8310
42,109,8387
43,109,8446.498
44,109,8497.257
45,109,8528.244
46,109,8544.883
47,109,8547.944
48,109,8538.801
49,109,8513.095
50,109,8470.6
51,109,8404.89
52,109,8318.381
53,109,8219.474
40,110,8186
41,110,8267
42,110,8368
43,110,8410.589
44,110,8485.485
45,110,8503.774
46,110,8547.328
47,110,8532.138
48,110,8551.32
49,110,8508.954
50,110,8496.104
51,110,8414
52,110,8358.545
53,110,8243
54,110,8159.116
41,111,8238
42,111,8326
43,111,8391.82
44,111,8451.88
45,111,8496.106
46,111,8521.914
47,111,8534.834
48,111,8537.127
49,111,8522.315
50,111,8493.186
51,111,8440.583
52,111,8366.839
53,111,8283
54,111,8181
41,112,8194
42,112,8303
43,112,8360.234
44,112,8437.928
45,112,8468.958
46,112,8520.857
47,112,8516.444
48,112,8544.78
49,112,8514.72
50,112,8513.674
51,112,8443.648
52,112,8398.275
53,112,8300
54,112,8229.531
55,112,8100
41,113,8161
42,113,8260
43,113,8338
44,113,8405.649
45,113,8456.07
46,113,8493.477
47,113,8516.117
48,113,8527.04
49,113,8522.951
50,113,8506.854
51,113,8465.3
52,113,8404.636
53,113,8333.83
54,113,8246.942
55,113,8148.088
42,114,8233
43,114,8300
44,114,8388
45,114,8425.932
46,114,8488.06
47,114,8493.936
48,114,8531.565
49,114,8511.994
50,114,8522.576
51,114,8462.683
52,114,8432.778
53,114,8346
54,114,8289.205
55,114,8172
56,114,8090.038
42,115,8188
43,115,8275
44,115,8349.623
45,115,8410.472
46,115,8457.535
47,115,8490.593
48,115,8510.777
49,115,8516.549
50,115,8514.088
51,115,8480.915
52,115,8431.15
53,115,8374.564
54,115,8300.97
55,115,8216
56,115,8117
43,116,8236
44,116,8330
45,116,8377.612
46,116,8450.393
47,116,8466.122
48,116,8512.41
49,116,8501.619
50,116,8523.134
51,116,8475.813
52,116,8455.687
53,116,8381.902
54,116,8336.835
55,116,8235
56,116,8164
43,117,8210
44,117,8290
45,117,8360
46,117,8417.833
47,117,8460.163
48,117,8489.032
49,117,8503.882
50,117,8509.63
51,117,8487.942
52,117,8450.931
53,117,8404.395
54,117,8344.297
55,117,8271.435
56,117,8186
57,117,8088
43,118,8169
44,118,8270
45,118,8325
46,118,8405.874
47,118,8433.99
48,118,8487.893
49,118,8485.685
50,118,8516.561
51,118,8478.942
52,118,8469.953
53,118,8406.119
54,118,8374.981
55,118,8286.405
56,118,8229
57,118,8114
44,119,8229
45,119,8307
46,119,8371
47,119,8422.47
48,119,8460.854
49,119,8486.187
50,119,8499.477
51,119,8487.937
52,119,8462.094
53,119,8426.789
54,119,8378.441
55,119,8317.334
56,119,8245.928
57,119,8158
58,119,8060
44,120,8209
45,120,8272
46,120,8355.993
47,120,8395.307
48,120,8458.162
49,120,8466.318
50,120,8504.548
51,120,8475.69
52,120,8477.338
53,120,8424.027
54,120,8404.032
55,120,8328.48
56,120,8280.294
57,120,8180
58,120,8107
45,121,8252
46,121,8321
47,121,8384.464
48,121,8430.891
49,121,8463.929
50,121,8485.257
51,121,8482.023
52,121,8466.93
53,121,8441.754
54,121,8403.764
55,121,8352.899
56,121,8293.89
57,121,8218
58,121,8132
59,121,8033
